"number","ADM2_PCODE","Population","ADM2_EN","ADM2_KK","ADM2_RUISO_3166_2","n","Area"
"185"," KZ614600","129235"," Ordabasy"," Ордабасы"," Ордабасынский"," KZ-YUZ1","2594"
"186"," KZ614800","51525"," Otrar"," Отырар"," Отрарский"," KZ-YUZ1","16758"
"187"," KZ615200","237606"," Sayram"," Сайрам"," Сайрамский"," KZ-YUZ1","1148"
"188"," KZ615400","222490"," Saryagash"," Сарыағаш"," Сарыагашский"," KZ-YUZ1","4171"
"189"," KZ615600","63158"," Suzak"," Созақ"," Сузакский"," KZ-YUZ1","41049"
"190"," KZ615800","122038"," Tolebi"," Төлеби"," Толебийский"," KZ-YUZ1","3064"
"191"," KZ616000","106229"," Tyulkubas"," Түлкібас"," Тюлькубасский"," KZ-YUZ1","2275"
"192"," KZ616400","84615"," Shardara"," Шардара"," Шардаринский"," KZ-YUZ1","12872"
"193"," KZ621000","93261"," Zhezkazgan"," Жезқазған"," Жезказган"," KZ-ULT1","1760"
"194"," KZ621800","17303"," Karazhal"," Қаражал"," Каражал"," KZ-ULT1","792"
"195"," KZ622010","68926"," Satpaev"," Сәтбаев"," Сатпаев"," KZ-ULT1","1104"
"196"," KZ623600","30869"," Zhanaarka"," Жаңаарқа"," Жанааркинский"," KZ-ULT1","62347"
"197"," KZ623800","11172"," Ulytau"," Ұлытау"," Улытауский"," KZ-ULT1","122931"
"198"," KZ631000","375363"," Ust-Kamenogorsk"," Өскемен"," Усть-Каменогорск"," KZ-VOS1","543"
"199"," KZ632400","51380"," Ridder"," Риддер"," Риддер"," KZ-VOS1","77"
"200"," KZ634000","56373"," Glubokoe"," Глубокое"," Глубоковский"," KZ-VOS1","7300"
"201"," KZ634600","35551"," Zaysan"," Зайсан"," Зайсанский"," KZ-VOS1","8900"
"202"," KZ634800","60153"," Altay"," Алтай"," Алтайский"," KZ-VOS1","10500"
"203"," KZ635200","21722"," Kurshum"," Күршім"," Курчумский"," KZ-VOS1","12200"
"204"," KZ635400","20482"," Katonkaragay"," Қатонқарағай"," Катон-Карагайский"," KZ-VOS1","9400"
"205"," KZ635600","11682"," Samar"," Самар"," Самарский"," KZ-VOS1","5500"
"206"," KZ635800","18848"," Tarbagatay"," Тарбағатай"," Тарбагатайский"," KZ-VOS1","10200"
"207"," KZ636200","33562"," Ulan"," Ұлан"," Уланский"," KZ-VOS1","9600"
"208"," KZ636800","41268"," Shemonaikha"," Шемонаиха"," Шемонаихинский"," KZ-VOS1","4000"
"209"," KZ711110","401758"," Almaty"," Алматы"," Алматинский"," KZ-AST1","155"
"210"," KZ711210","458306"," Esil"," Есіл"," Есильский"," KZ-AST1","200"
"211"," KZ711310","351313"," Saryarka"," Сарыарқа"," Сарыаркинский"," KZ-AST1","68"
"212"," KZ711410","240148"," Baykonyr"," Байқоңыр"," Байконырский"," KZ-AST1","181"
"213"," KZ711510","1"," Nura"," Нұра"," Нуринский"," KZ-AST1","193"
"214"," KZ751110","266997"," Almaly"," Алмалы"," Алмалинский"," KZ-ALA1","18"
"215"," KZ751210","374146"," Alatau"," Алатау"," Алатауский"," KZ-ALA1","105"
"216"," KZ751310","358257"," Auezov"," Әуезов"," Ауэзовский"," KZ-ALA1","24"
"217"," KZ751410","331138"," Bostandyk"," Бостандық"," Бостандыкский"," KZ-ALA1","100"
"218"," KZ751510","198831"," Zhetysu"," Жетісу"," Жетысуский"," KZ-ALA1","37"
"219"," KZ751710","248456"," Medeu"," Медеу"," Медеуский"," KZ-ALA1","253"
"220"," KZ751810","205888"," Nauryzbay"," Наурызбай"," Наурызбайский"," KZ-ALA1","70"
"221"," KZ751910","261111"," Turksib"," Түркісіб"," Турксибский"," KZ-ALA1","76"
"222"," KZ791110","358316"," Abay"," Абай"," Абайский"," KZ-SHY1","240"
"223"," KZ791310","201549"," Al-Farabi"," ӘлФараби"," Аль-Фарабиский"," KZ-SHY1","131"
"224"," KZ791510","295716"," Enbekshi"," Еңбекші"," Енбекшинскийский"," KZ-SHY1","221"
"225"," KZ791710","376215"," Karatau"," Қаратау"," Каратаускийский"," KZ-SHY1","191"
"226"," KZ791910","220700"," Turan"," Тұран"," Туранский"," KZ-SHY1","360"
"","","","","","","",""
